SYMBOL,TYPE
GSM,COMMON STOCK
FER,COMMON STOCK
FGI,COMMON STOCK
FBLG,COMMON STOCK
FGEN,COMMON STOCK
FDBC,COMMON STOCK
FDUS,COMMON STOCK
FDSB,COMMON STOCK
FITB,COMMON STOCK
FISI,COMMON STOCK
FNGR,COMMON STOCK
FNWD,COMMON STOCK
FINW,COMMON STOCK
AIFF,COMMON STOCK
FA,COMMON STOCK
FBNC,COMMON STOCK
FRBA,COMMON STOCK
BUSE,COMMON STOCK
FBIZ,COMMON STOCK
FCAP,COMMON STOCK
FCNCA,COMMON STOCK
FCBC,COMMON STOCK
FCCO,COMMON STOCK
FFBC,COMMON STOCK
FFIN,COMMON STOCK
THFF,COMMON STOCK
FFNW,COMMON STOCK
FGBI,COMMON STOCK
FHB,COMMON STOCK
INBK,COMMON STOCK
FIBK,COMMON STOCK
FRME,COMMON STOCK
FMBH,COMMON STOCK
FXNC,COMMON STOCK
FNWB,COMMON STOCK
FSFG,COMMON STOCK
FSEA,COMMON STOCK
FSLR,COMMON STOCK
FUNC,COMMON STOCK
FUSB,COMMON STOCK
FWRG,COMMON STOCK
MYFW,COMMON STOCK
FCFS,COMMON STOCK
FSV,COMMON STOCK
FSUN,COMMON STOCK
FTEL,COMMON STOCK
FTLF,COMMON STOCK
FIVE,COMMON STOCK
FSBC,COMMON STOCK
FIVN,COMMON STOCK
FSHP,COMMON STOCK
FLEX,COMMON STOCK
FPAY,COMMON STOCK
FLXS,COMMON STOCK
FLGC,COMMON STOCK
FLNC,COMMON STOCK
FLNT,COMMON STOCK
FFIC,COMMON STOCK
FLUX,COMMON STOCK
FLYE,COMMON STOCK
FLYW,COMMON STOCK
FCUV,COMMON STOCK
FHTX,COMMON STOCK
FONR,COMMON STOCK
AFRI,COMMON STOCK
FMST,COMMON STOCK
FORA,COMMON STOCK
FORM,COMMON STOCK
FWONA,COMMON STOCK
FWONK,COMMON STOCK
FORR,COMMON STOCK
FBRX,COMMON STOCK
FTNT,COMMON STOCK
FTRE,COMMON STOCK
FBIO,COMMON STOCK
FWRD,COMMON STOCK
FORD,COMMON STOCK
FOSL,COMMON STOCK
FGL,COMMON STOCK
FORL,COMMON STOCK
FOX,COMMON STOCK
FOXA,COMMON STOCK
FOXF,COMMON STOCK
FOXX,COMMON STOCK
GUTS,COMMON STOCK
FELE,COMMON STOCK
FRAF,COMMON STOCK
FKWL,COMMON STOCK
FRHC,COMMON STOCK
FRGT,COMMON STOCK
RAIL,COMMON STOCK
CRGO,COMMON STOCK
FEIM,COMMON STOCK
FRPT,COMMON STOCK
FRSH,COMMON STOCK
FTDR,COMMON STOCK
FYBR,COMMON STOCK
ULCC,COMMON STOCK
FRPH,COMMON STOCK
FSBW,COMMON STOCK
FLD,COMMON STOCK
FTAI,COMMON STOCK
FIP,COMMON STOCK
FTCI,COMMON STOCK
FTEK,COMMON STOCK
FCEL,COMMON STOCK
FULC,COMMON STOCK
FLGT,COMMON STOCK
FLL,COMMON STOCK
FULT,COMMON STOCK
FGF,COMMON STOCK
FNKO,COMMON STOCK
HTOO,COMMON STOCK
FTFT,COMMON STOCK
FVN,COMMON STOCK
FTII,COMMON STOCK
FVCB,COMMON STOCK
GIII,COMMON STOCK
WILC,COMMON STOCK
GAIA,COMMON STOCK
GANX,COMMON STOCK
GLXG,COMMON STOCK
GALT,COMMON STOCK
GLTO,COMMON STOCK
GLMD,COMMON STOCK
GAMB,COMMON STOCK
GAME,COMMON STOCK
GLPI,COMMON STOCK
GAN,COMMON STOCK
GSIW,COMMON STOCK
GTX,COMMON STOCK
GAUZ,COMMON STOCK
GXAI,COMMON STOCK
GCMG,COMMON STOCK
GDC,COMMON STOCK
GDEV,COMMON STOCK
GEHC,COMMON STOCK
GELS,COMMON STOCK
GEN,COMMON STOCK
GENK,COMMON STOCK
GNSS,COMMON STOCK
WGS,COMMON STOCK
GNLX,COMMON STOCK
GBIO,COMMON STOCK
GIPR,COMMON STOCK
GNPX,COMMON STOCK
GNTX,COMMON STOCK
THRM,COMMON STOCK
GEOS,COMMON STOCK
GOVX,COMMON STOCK
GABC,COMMON STOCK
GERN,COMMON STOCK
GEVO,COMMON STOCK
GHRS,COMMON STOCK
ROCK,COMMON STOCK
GIFT,COMMON STOCK
GCT,COMMON STOCK
GIGM,COMMON STOCK
GIG,COMMON STOCK
GILT,COMMON STOCK
GILD,COMMON STOCK
GTLB,COMMON STOCK
GLAD,COMMON STOCK
GOOD,COMMON STOCK
GAIN,COMMON STOCK
LAND,COMMON STOCK
GLBZ,COMMON STOCK
GBBK,COMMON STOCK
GLE,COMMON STOCK
GLAC,COMMON STOCK
GMM,COMMON STOCK
SELF,COMMON STOCK
GLST,COMMON STOCK
GWRS,COMMON STOCK
GLBE,COMMON STOCK
GFS,COMMON STOCK
GVH,COMMON STOCK
GLBS,COMMON STOCK
GCTK,COMMON STOCK
GLYC,COMMON STOCK
GOGO,COMMON STOCK
GGR,COMMON STOCK
GOCO,COMMON STOCK
GLNG,COMMON STOCK
GDEN,COMMON STOCK
GDHG,COMMON STOCK
GMGI,COMMON STOCK
GOGL,COMMON STOCK
GODN,COMMON STOCK
GSUN,COMMON STOCK
GDST,COMMON STOCK
GBDC,COMMON STOCK
GTIM,COMMON STOCK
GDRX,COMMON STOCK
GSHD,COMMON STOCK
GPRO,COMMON STOCK
GHIX,COMMON STOCK
GRRR,COMMON STOCK
GOSS,COMMON STOCK
GPAT,COMMON STOCK
GRAB,COMMON STOCK
GRCE,COMMON STOCK
GRAL,COMMON STOCK
LOPE,COMMON STOCK
GTI,COMMON STOCK
GECC,COMMON STOCK
GEG,COMMON STOCK
GLDD,COMMON STOCK
GSBC,COMMON STOCK
GPRE,COMMON STOCK
GCBC,COMMON STOCK
GREE,COMMON STOCK
GTEC,COMMON STOCK
GNLN,COMMON STOCK
GLRE,COMMON STOCK
GP,COMMON STOCK
GRNQ,COMMON STOCK
GWAV,COMMON STOCK
GLSI,COMMON STOCK
GRI,COMMON STOCK
GDYN,COMMON STOCK
GO,COMMON STOCK
GRPN,COMMON STOCK
GRWG,COMMON STOCK
GRYP,COMMON STOCK
GSIT,COMMON STOCK
GTBP,COMMON STOCK
GH,COMMON STOCK
GFAI,COMMON STOCK
GIFI,COMMON STOCK
GURE,COMMON STOCK
GYRE,COMMON STOCK
GYRO,COMMON STOCK
HEES,COMMON STOCK
HOFV,COMMON STOCK
HNRG,COMMON STOCK
HALO,COMMON STOCK
HLNE,COMMON STOCK
HWC,COMMON STOCK
HAFC,COMMON STOCK
HNVR,COMMON STOCK
HRYU,COMMON STOCK
HAO,COMMON STOCK
HONE,COMMON STOCK
HLIT,COMMON STOCK
HRMY,COMMON STOCK
HROW,COMMON STOCK
HHS,COMMON STOCK
HBIO,COMMON STOCK
HAS,COMMON STOCK
HCP,COMMON STOCK
HWKN,COMMON STOCK
HWBK,COMMON STOCK
HBT,COMMON STOCK
HOND,COMMON STOCK
HCWB,COMMON STOCK
HCAT,COMMON STOCK
HAIA,COMMON STOCK
HCSG,COMMON STOCK
HCTI,COMMON STOCK
HQY,COMMON STOCK
HSTM,COMMON STOCK
BEAT,COMMON STOCK
HTCR,COMMON STOCK
HTLD,COMMON STOCK
HTLF,COMMON STOCK
HSCS,COMMON STOCK
HSII,COMMON STOCK
HELE,COMMON STOCK
HSDT,COMMON STOCK
HLXB,COMMON STOCK
HPAI,COMMON STOCK
HNNA,COMMON STOCK
HCVI,COMMON STOCK
HSIC,COMMON STOCK
HEPA,COMMON STOCK
PITA,COMMON STOCK
HTBK,COMMON STOCK
CASK,COMMON STOCK
HFWA,COMMON STOCK
HGBL,COMMON STOCK
HRTX,COMMON STOCK
HTZ,COMMON STOCK
HTZWW,COMMON STOCK
HFFG,COMMON STOCK
HITI,COMMON STOCK
HPK,COMMON STOCK
HIHO,COMMON STOCK
HLVX,COMMON STOCK
HLMN,COMMON STOCK
HIFS,COMMON STOCK
HQI,COMMON STOCK
HKIT,COMMON STOCK
HIVE,COMMON STOCK
HOLX,COMMON STOCK
HBCP,COMMON STOCK
HFBL,COMMON STOCK
HTLM,COMMON STOCK
HMST,COMMON STOCK
HTBI,COMMON STOCK
HON,COMMON STOCK
HLP,COMMON STOCK
HOFT,COMMON STOCK
HOOK,COMMON STOCK
HOPE,COMMON STOCK
HBNC,COMMON STOCK
HSPO,COMMON STOCK
HRZN,COMMON STOCK
HST,COMMON STOCK
HOTH,COMMON STOCK
HOUR,COMMON STOCK
HUDI,COMMON STOCK
HUBC,COMMON STOCK
HUBG,COMMON STOCK
HSON,COMMON STOCK
HDSN,COMMON STOCK
HUHU,COMMON STOCK
HUMA,COMMON STOCK
HBAN,COMMON STOCK
HURC,COMMON STOCK
HURN,COMMON STOCK
HUT,COMMON STOCK
HWH,COMMON STOCK
HYMC,COMMON STOCK
HYFM,COMMON STOCK
HYPR,COMMON STOCK
HYZN,COMMON STOCK
IIIV,COMMON STOCK
IAC,COMMON STOCK
IBAC,COMMON STOCK
IBEX,COMMON STOCK
ICAD,COMMON STOCK
IEP,COMMON STOCK
ICCH,COMMON STOCK
ICCM,COMMON STOCK
ICFI,COMMON STOCK
ICHR,COMMON STOCK
ICON,COMMON STOCK
ICLR,COMMON STOCK
ICCT,COMMON STOCK
ICUI,COMMON STOCK
IZM,COMMON STOCK
IPWR,COMMON STOCK
IDYA,COMMON STOCK
INVE,COMMON STOCK
IDXX,COMMON STOCK
IESC,COMMON STOCK
IROQ,COMMON STOCK
IGMS,COMMON STOCK
IHRT,COMMON STOCK
IKNA,COMMON STOCK
AILE,COMMON STOCK
ILMN,COMMON STOCK
IMCC,COMMON STOCK
BACK,COMMON STOCK
IMTX,COMMON STOCK
IMMR,COMMON STOCK
IMMX,COMMON STOCK
ICCC,COMMON STOCK
IMRX,COMMON STOCK
IMUX,COMMON STOCK
IBRX,COMMON STOCK
IMNM,COMMON STOCK
IPA,COMMON STOCK
IMVT,COMMON STOCK
IMPP,COMMON STOCK
PI,COMMON STOCK
IMNN,COMMON STOCK
INAB,COMMON STOCK
NARI,COMMON STOCK
IXHL,COMMON STOCK
IGTA,COMMON STOCK
INCY,COMMON STOCK
INDP,COMMON STOCK
INDB,COMMON STOCK
IBCP,COMMON STOCK
IBTX,COMMON STOCK
INDI,COMMON STOCK
INDV,COMMON STOCK
ILPT,COMMON STOCK
INFN,COMMON STOCK
IFRX,COMMON STOCK
IPXX,COMMON STOCK
IFBD,COMMON STOCK
III,COMMON STOCK
IMKTA,COMMON STOCK
IKT,COMMON STOCK
INBX,COMMON STOCK
INM,COMMON STOCK
INMD,COMMON STOCK
INMB,COMMON STOCK
INHD,COMMON STOCK
INOD,COMMON STOCK
IOSP,COMMON STOCK
INNV,COMMON STOCK
IBG,COMMON STOCK
LUCY,COMMON STOCK
ISSC,COMMON STOCK
INVA,COMMON STOCK
INVZ,COMMON STOCK
INV,COMMON STOCK
INGN,COMMON STOCK
NOTV,COMMON STOCK
INO,COMMON STOCK
INZY,COMMON STOCK
INSG,COMMON STOCK
INAQ,COMMON STOCK
NSIT,COMMON STOCK
INSM,COMMON STOCK
IINN,COMMON STOCK
ISPO,COMMON STOCK
IVP,COMMON STOCK
INSE,COMMON STOCK
NSPR,COMMON STOCK
TIL,COMMON STOCK
PODD,COMMON STOCK
INTA,COMMON STOCK
IART,COMMON STOCK
IAS,COMMON STOCK
IMTE,COMMON STOCK
INTC,COMMON STOCK
NTLA,COMMON STOCK
IDN,COMMON STOCK
INBS,COMMON STOCK
INTJ,COMMON STOCK
ILAG,COMMON STOCK
INTS,COMMON STOCK
INTR,COMMON STOCK
IBKR,COMMON STOCK
TRNR,COMMON STOCK
INCR,COMMON STOCK
IDCC,COMMON STOCK
TILE,COMMON STOCK
LINK,COMMON STOCK
IBOC,COMMON STOCK
IGIC,COMMON STOCK
IMXI,COMMON STOCK
IPAR,COMMON STOCK
IVAC,COMMON STOCK
ITCI,COMMON STOCK
INTZ,COMMON STOCK
INTU,COMMON STOCK
LUNR,COMMON STOCK
ISRG,COMMON STOCK
ISTR,COMMON STOCK
IVCA,COMMON STOCK
ICMB,COMMON STOCK
IVCB,COMMON STOCK
ITIC,COMMON STOCK
IVVD,COMMON STOCK
IZTC,COMMON STOCK
IOBT,COMMON STOCK
IONS,COMMON STOCK
IOVA,COMMON STOCK
IPGP,COMMON STOCK
IPW,COMMON STOCK
IRMD,COMMON STOCK
IRTC,COMMON STOCK
IRIX,COMMON STOCK
IRDM,COMMON STOCK
IREN,COMMON STOCK
IRBT,COMMON STOCK
IROH,COMMON STOCK
IRWD,COMMON STOCK
ISPC,COMMON STOCK
ISPR,COMMON STOCK
ISRL,COMMON STOCK
ITOS,COMMON STOCK
ITRM,COMMON STOCK
ITRI,COMMON STOCK
ITRN,COMMON STOCK
IVDA,COMMON STOCK
IZEA,COMMON STOCK
JL,COMMON STOCK
JBHT,COMMON STOCK
MAYS,COMMON STOCK
JJSF,COMMON STOCK
JKHY,COMMON STOCK
JACK,COMMON STOCK
JAGX,COMMON STOCK
JAKK,COMMON STOCK
JRVR,COMMON STOCK
JAMF,COMMON STOCK
JNVR,COMMON STOCK
JANX,COMMON STOCK
JSPR,COMMON STOCK
JYD,COMMON STOCK
JAZZ,COMMON STOCK
JBDI,COMMON STOCK
JCSE,COMMON STOCK
JFBR,COMMON STOCK
JRSH,COMMON STOCK
JTAI,COMMON STOCK
JBLU,COMMON STOCK
JCTC,COMMON STOCK
FROG,COMMON STOCK
JDZG,COMMON STOCK
ZJYL,COMMON STOCK
JZXN,COMMON STOCK
JBSS,COMMON STOCK
JMSB,COMMON STOCK
JOUT,COMMON STOCK
DERM,COMMON STOCK
JWEL,COMMON STOCK
JUNE,COMMON STOCK
JVSA,COMMON STOCK
JXJT,COMMON STOCK
KACL,COMMON STOCK
KALU,COMMON STOCK
KAVL,COMMON STOCK
KXIN,COMMON STOCK
KALA,COMMON STOCK
KLTR,COMMON STOCK
KALV,COMMON STOCK
KMDA,COMMON STOCK
KNDI,COMMON STOCK
KRT,COMMON STOCK
KARO,COMMON STOCK
KPTI,COMMON STOCK
KPLT,COMMON STOCK
KRNY,COMMON STOCK
KVAC,COMMON STOCK
KELYA,COMMON STOCK
KELYB,COMMON STOCK
KFFB,COMMON STOCK
KROS,COMMON STOCK
KDP,COMMON STOCK
KEQU,COMMON STOCK
KTCC,COMMON STOCK
KZR,COMMON STOCK
PIK,COMMON STOCK
KE,COMMON STOCK
KDLY,COMMON STOCK
KINS,COMMON STOCK
KNSA,COMMON STOCK
KPRX,COMMON STOCK
KIRK,COMMON STOCK
KLAC,COMMON STOCK
KLTO,COMMON STOCK
KLXE,COMMON STOCK
KSCP,COMMON STOCK
KOD,COMMON STOCK
KGEI,COMMON STOCK
KOPN,COMMON STOCK
KRNT,COMMON STOCK
KRRO,COMMON STOCK
KRMD,COMMON STOCK
KOSS,COMMON STOCK
KTOS,COMMON STOCK
DNUT,COMMON STOCK
KRON,COMMON STOCK
KRYS,COMMON STOCK
KLIC,COMMON STOCK
KURA,COMMON STOCK
KRUS,COMMON STOCK
KVHI,COMMON STOCK
KWE,COMMON STOCK
KYMR,COMMON STOCK
KYTX,COMMON STOCK
FSTR,COMMON STOCK
LRHC,COMMON STOCK
LSBK,COMMON STOCK
LKFN,COMMON STOCK
LAKE,COMMON STOCK
LSB,COMMON STOCK
LSH,COMMON STOCK
LRCX,COMMON STOCK
LAMR,COMMON STOCK
LANC,COMMON STOCK
LARK,COMMON STOCK
LE,COMMON STOCK
LSEA,COMMON STOCK
LSTR,COMMON STOCK
LTRN,COMMON STOCK
LNTH,COMMON STOCK
LTRX,COMMON STOCK
LNZA,COMMON STOCK
LGO,COMMON STOCK
LRMR,COMMON STOCK
LASE,COMMON STOCK
SWIM,COMMON STOCK
LSCC,COMMON STOCK
LPAA,COMMON STOCK
LAUR,COMMON STOCK
LVTX,COMMON STOCK
LVRO,COMMON STOCK
GORV,COMMON STOCK
LCNB,COMMON STOCK
LFLY,COMMON STOCK
LPTX,COMMON STOCK
LDTC,COMMON STOCK
LEE,COMMON STOCK
LEGH,COMMON STOCK
LZ,COMMON STOCK
LMAT,COMMON STOCK
TREE,COMMON STOCK
LDWY,COMMON STOCK
LNSR,COMMON STOCK
LENZ,COMMON STOCK
DRS,COMMON STOCK
LSAK,COMMON STOCK
LESL,COMMON STOCK
LEXX,COMMON STOCK
LXEO,COMMON STOCK
LXRX,COMMON STOCK
LGIH,COMMON STOCK
LBGJ,COMMON STOCK
LBRDA,COMMON STOCK
LBRDK,COMMON STOCK
LBTYA,COMMON STOCK
LBTYB,COMMON STOCK
LBTYK,COMMON STOCK
LILA,COMMON STOCK
LILAK,COMMON STOCK
LLYVA,COMMON STOCK
LLYVK,COMMON STOCK
LICN,COMMON STOCK
LIF,COMMON STOCK
LFCR,COMMON STOCK
LFMD,COMMON STOCK
LFST,COMMON STOCK
LCUT,COMMON STOCK
LFVN,COMMON STOCK
LFWD,COMMON STOCK
LWAY,COMMON STOCK
LGND,COMMON STOCK
LNW,COMMON STOCK
LTBR,COMMON STOCK
LPTH,COMMON STOCK
LWLG,COMMON STOCK
LMB,COMMON STOCK
LMNR,COMMON STOCK
LINC,COMMON STOCK
LECO,COMMON STOCK
LIND,COMMON STOCK
LIN,COMMON STOCK
LINE,COMMON STOCK
LGCB,COMMON STOCK
LNKB,COMMON STOCK
CUB,COMMON STOCK
LION,COMMON STOCK
LIPO,COMMON STOCK
LPCN,COMMON STOCK
LIQT,COMMON STOCK
LQDA,COMMON STOCK
LQDT,COMMON STOCK
LSTA,COMMON STOCK
LFUS,COMMON STOCK
LIVN,COMMON STOCK
LIVE,COMMON STOCK
LVO,COMMON STOCK
LPSN,COMMON STOCK
LIXT,COMMON STOCK
LKQ,COMMON STOCK
LMFA,COMMON STOCK
LOBO,COMMON STOCK
LCFY,COMMON STOCK
LRFC,COMMON STOCK
LGMK,COMMON STOCK
LGTY,COMMON STOCK
LOGI,COMMON STOCK
LBPH,COMMON STOCK
LGVN,COMMON STOCK
LOOP,COMMON STOCK
LTRY,COMMON STOCK
LPLA,COMMON STOCK
LQR,COMMON STOCK
LYTS,COMMON STOCK
LGCL,COMMON STOCK
LUCD,COMMON STOCK
LCID,COMMON STOCK
LVLU,COMMON STOCK
LULU,COMMON STOCK
LITE,COMMON STOCK
LAZR,COMMON STOCK
LUMO,COMMON STOCK
LUNA,COMMON STOCK
LKCO,COMMON STOCK
LUXH,COMMON STOCK
LYEL,COMMON STOCK
LYFT,COMMON STOCK
LYRA,COMMON STOCK
LYT,COMMON STOCK
MBAV,COMMON STOCK
MKZR,COMMON STOCK
MTSI,COMMON STOCK
MGNX,COMMON STOCK
MDGL,COMMON STOCK
MEGL,COMMON STOCK
MGIC,COMMON STOCK
MGNI,COMMON STOCK
MGYR,COMMON STOCK
MHLD,COMMON STOCK
MNSB,COMMON STOCK
MYNZ,COMMON STOCK
MSS,COMMON STOCK
MMYT,COMMON STOCK
MBUU,COMMON STOCK
MAMA,COMMON STOCK
TUSK,COMMON STOCK
MGRX,COMMON STOCK
MANH,COMMON STOCK
LOAN,COMMON STOCK
MNTX,COMMON STOCK
MTEX,COMMON STOCK
MNKD,COMMON STOCK
CART,COMMON STOCK
MARA,COMMON STOCK
MRVI,COMMON STOCK
GATE,COMMON STOCK
MCHX,COMMON STOCK
MRX,COMMON STOCK
MRIN,COMMON STOCK
MARPS,COMMON STOCK
MRNS,COMMON STOCK
MTEK,COMMON STOCK
MRKR,COMMON STOCK
MKTX,COMMON STOCK
MKTW,COMMON STOCK
MQ,COMMON STOCK
MAR,COMMON STOCK
MARX,COMMON STOCK
MRTN,COMMON STOCK
MMLP,COMMON STOCK
MRVL,COMMON STOCK
MASI,COMMON STOCK
MAMO,COMMON STOCK
MCFT,COMMON STOCK
MTCH,COMMON STOCK
MTRX,COMMON STOCK
MAT,COMMON STOCK
MTTR,COMMON STOCK
MATW,COMMON STOCK
MIGI,COMMON STOCK
MXCT,COMMON STOCK
MAXN,COMMON STOCK
MXL,COMMON STOCK
MBX,COMMON STOCK
MGRC,COMMON STOCK
MDBH,COMMON STOCK
MDJH,COMMON STOCK
MDXH,COMMON STOCK
MDRR,COMMON STOCK
MFIN,COMMON STOCK
MDIA,COMMON STOCK
MNOV,COMMON STOCK
MDCX,COMMON STOCK
MDWD,COMMON STOCK
MEDP,COMMON STOCK
MEIP,COMMON STOCK
MHUA,COMMON STOCK
MGTX,COMMON STOCK
WNW,COMMON STOCK
MACI,COMMON STOCK
MELI,COMMON STOCK
MBWM,COMMON STOCK
MERC,COMMON STOCK
MBIN,COMMON STOCK
MFH,COMMON STOCK
MRCY,COMMON STOCK
MRBK,COMMON STOCK
MMSI,COMMON STOCK
MRSN,COMMON STOCK
MRUS,COMMON STOCK
MESA,COMMON STOCK
MLAB,COMMON STOCK
META,COMMON STOCK
MGX,COMMON STOCK
MSSA,COMMON STOCK
MATH,COMMON STOCK
MEOH,COMMON STOCK
MCBS,COMMON STOCK
MFI,COMMON STOCK
MGEE,COMMON STOCK
MGOL,COMMON STOCK
MGPI,COMMON STOCK
MLGO,COMMON STOCK
MBOT,COMMON STOCK
MCHP,COMMON STOCK
HOLO,COMMON STOCK
MU,COMMON STOCK
MSFT,COMMON STOCK
MSTR,COMMON STOCK
MVST,COMMON STOCK
MVIS,COMMON STOCK
MPB,COMMON STOCK
MFIC,COMMON STOCK
MBCN,COMMON STOCK
MSEX,COMMON STOCK
MSBI,COMMON STOCK
MOFG,COMMON STOCK
MIST,COMMON STOCK
MCVT,COMMON STOCK
MGIH,COMMON STOCK
MLKN,COMMON STOCK
TIGO,COMMON STOCK
MDXG,COMMON STOCK
MNDO,COMMON STOCK
MNMD,COMMON STOCK
MIND,COMMON STOCK
MLYS,COMMON STOCK
NERV,COMMON STOCK
MSW,COMMON STOCK
MTEN,COMMON STOCK
YGMZ,COMMON STOCK
INKT,COMMON STOCK
MIRA,COMMON STOCK
MIRM,COMMON STOCK
AVO,COMMON STOCK
MITK,COMMON STOCK
MKDW,COMMON STOCK
MKSI,COMMON STOCK
MTC,COMMON STOCK
MNDR,COMMON STOCK
MBLY,COMMON STOCK
MOBX,COMMON STOCK
MRNA,COMMON STOCK
MODV,COMMON STOCK
MODD,COMMON STOCK
MOGO,COMMON STOCK
MTEM,COMMON STOCK
MBRX,COMMON STOCK
MNTS,COMMON STOCK
MCRI,COMMON STOCK
MNDY,COMMON STOCK
MOND,COMMON STOCK
MDLZ,COMMON STOCK
MNY,COMMON STOCK
MDB,COMMON STOCK
MGRM,COMMON STOCK
MPWR,COMMON STOCK
MNPR,COMMON STOCK
MNRO,COMMON STOCK
MRCC,COMMON STOCK
MNST,COMMON STOCK
MNTK,COMMON STOCK
GLUE,COMMON STOCK
MLEC,COMMON STOCK
MLTX,COMMON STOCK
MORN,COMMON STOCK
MPAA,COMMON STOCK
MSGM,COMMON STOCK
MOVE,COMMON STOCK
COOP,COMMON STOCK
LIFW,COMMON STOCK
MULN,COMMON STOCK
MMV,COMMON STOCK
MSAI,COMMON STOCK
MURA,COMMON STOCK
MRNO,COMMON STOCK
MBIO,COMMON STOCK
MVBF,COMMON STOCK
MYSZ,COMMON STOCK
MYRG,COMMON STOCK
MYGN,COMMON STOCK
NITO,COMMON STOCK
NETD,COMMON STOCK
NA,COMMON STOCK
NNE,COMMON STOCK
NNOX,COMMON STOCK
NAOV,COMMON STOCK
NSSC,COMMON STOCK
NDAQ,COMMON STOCK
NTRA,COMMON STOCK
NATH,COMMON STOCK
NKSH,COMMON STOCK
FIZZ,COMMON STOCK
NCMI,COMMON STOCK
NESR,COMMON STOCK
NRC,COMMON STOCK
EYE,COMMON STOCK
NAII,COMMON STOCK
NHTC,COMMON STOCK
NMHI,COMMON STOCK
NATR,COMMON STOCK
KITT,COMMON STOCK
NAUT,COMMON STOCK
NAVI,COMMON STOCK
NVTS,COMMON STOCK
NAYA,COMMON STOCK
NYAX,COMMON STOCK
NBBK,COMMON STOCK
NBTB,COMMON STOCK
NCNO,COMMON STOCK
NCSM,COMMON STOCK
NBIS,COMMON STOCK
NKTR,COMMON STOCK
NCI,COMMON STOCK
NEOG,COMMON STOCK
NEO,COMMON STOCK
NEON,COMMON STOCK
NEOV,COMMON STOCK
NEPH,COMMON STOCK
NRDS,COMMON STOCK
NTAP,COMMON STOCK
NCPL,COMMON STOCK
NFLX,COMMON STOCK
NTGR,COMMON STOCK
NTCT,COMMON STOCK
NTWK,COMMON STOCK
NMRA,COMMON STOCK
NRBO,COMMON STOCK
NBIX,COMMON STOCK
NGNE,COMMON STOCK
NURO,COMMON STOCK
STIM,COMMON STOCK
NMTC,COMMON STOCK
NPCE,COMMON STOCK
NRSN,COMMON STOCK
NFE,COMMON STOCK
HOVR,COMMON STOCK
NMFC,COMMON STOCK
NYMT,COMMON STOCK
NAMS,COMMON STOCK
NEGG,COMMON STOCK
NWL,COMMON STOCK
NIVF,COMMON STOCK
NMRK,COMMON STOCK
NWS,COMMON STOCK
NWSA,COMMON STOCK
NEWT,COMMON STOCK
NXL,COMMON STOCK
NXGL,COMMON STOCK
NXST,COMMON STOCK
NXTT,COMMON STOCK
NXTC,COMMON STOCK
NEXT,COMMON STOCK
NN,COMMON STOCK
NXPL,COMMON STOCK
NXT,COMMON STOCK
NTRP,COMMON STOCK
NODK,COMMON STOCK
NKLA,COMMON STOCK
NB,COMMON STOCK
NISN,COMMON STOCK
NIXX,COMMON STOCK
NKTX,COMMON STOCK
NKGN,COMMON STOCK
LASR,COMMON STOCK
NLSP,COMMON STOCK
NMIH,COMMON STOCK
NNBR,COMMON STOCK
NCRA,COMMON STOCK
NDLS,COMMON STOCK
NDSN,COMMON STOCK
NSYS,COMMON STOCK
NBN,COMMON STOCK
NECB,COMMON STOCK
NTIC,COMMON STOCK
NTRS,COMMON STOCK
NFBK,COMMON STOCK
NRIM,COMMON STOCK
NVAC,COMMON STOCK
NWBI,COMMON STOCK
NWPX,COMMON STOCK
NWE,COMMON STOCK
NWFL,COMMON STOCK
NVFY,COMMON STOCK
NVMI,COMMON STOCK
NOVT,COMMON STOCK
NVAX,COMMON STOCK
NVCR,COMMON STOCK
NRXP,COMMON STOCK
NSTS,COMMON STOCK
NUKK,COMMON STOCK
NRIX,COMMON STOCK
NTNX,COMMON STOCK
NUTX,COMMON STOCK
NTRB,COMMON STOCK
NUVL,COMMON STOCK
NVCT,COMMON STOCK
NVVE,COMMON STOCK
NUWE,COMMON STOCK
NVEE,COMMON STOCK
NVEC,COMMON STOCK
NVDA,COMMON STOCK
NVNI,COMMON STOCK
NWTN,COMMON STOCK
NXPI,COMMON STOCK
NXU,COMMON STOCK
NYXH,COMMON STOCK
ORLY,COMMON STOCK
OVLY,COMMON STOCK
OAKU,COMMON STOCK
OCSL,COMMON STOCK
OBLG,COMMON STOCK
OCEA,COMMON STOCK
OCFC,COMMON STOCK
OCFCP,COMMON STOCK
OP,COMMON STOCK
OCGN,COMMON STOCK
OCUL,COMMON STOCK
OCS,COMMON STOCK
ODD,COMMON STOCK
OMEX,COMMON STOCK
OPI,COMMON STOCK
OFS,COMMON STOCK
OCCI,COMMON STOCK
OVBC,COMMON STOCK
OMH,COMMON STOCK
OKTA,COMMON STOCK
OKYO,COMMON STOCK
OLPX,COMMON STOCK
ODFL,COMMON STOCK
OMCC,COMMON STOCK
ONB,COMMON STOCK
OPOF,COMMON STOCK
OSBC,COMMON STOCK
OLMA,COMMON STOCK
OLLI,COMMON STOCK
ZEUS,COMMON STOCK
OFLX,COMMON STOCK
OMGA,COMMON STOCK
OMER,COMMON STOCK
OABI,COMMON STOCK
OMCL,COMMON STOCK
ON,COMMON STOCK
OCX,COMMON STOCK
ONCY,COMMON STOCK
ONCO,COMMON STOCK
